playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,,,,,,
trumbma01,102,19,2,20,69,53,35,115,11,3,2,4,3,410,449,0.249,0.311,0.451,0.762,0.202,0.335,8.9,25.61%,7.80%,3.29,0.298,,,,,,
tuiasma01,49,10,1,7,28,27,22,52,4,1,2,2,1,194,219,0.253,0.335,0.423,0.758,0.170,0.337,4.6,23.74%,10.05%,2.36,0.311,,,,,,
tulowtr01,117,22,1,20,62,68,49,72,8,4,4,3,1,382,439,0.306,0.391,0.526,0.917,0.220,0.403,31.9,16.40%,11.16%,1.47,0.334,,,,,,
turneju01,102,23,2,7,43,44,28,68,10,1,4,5,2,347,382,0.294,0.354,0.432,0.786,0.138,0.347,11.2,17.80%,7.33%,2.43,0.349,,,,,,
ugglada01,58,11,1,10,35,39,41,90,5,2,5,2,1,284,332,0.204,0.315,0.356,0.671,0.151,0.306,-1.1,27.11%,12.35%,2.20,0.261,,,,,,
uptonbj01,106,21,3,15,46,59,49,155,9,3,2,18,6,479,536,0.221,0.296,0.372,0.668,0.150,0.299,-4.7,28.92%,9.14%,3.16,0.294,,,,,,
uptonju01,140,28,2,23,77,84,61,143,10,3,5,10,4,515,584,0.272,0.355,0.468,0.823,0.196,0.363,24.1,24.49%,10.45%,2.34,0.335,,,,,,
uribeju01,113,23,1,10,52,44,27,85,13,2,2,3,1,411,445,0.275,0.323,0.409,0.731,0.134,0.324,4.8,19.10%,6.07%,3.15,0.326,,,,,,
urruthe01,49,8,1,5,20,23,15,41,5,1,1,3,1,188,206,0.261,0.319,0.394,0.712,0.133,0.317,1.1,19.90%,7.28%,2.73,0.310,,,,,,
utleych01,138,28,5,14,69,70,50,83,9,8,9,10,2,517,585,0.267,0.342,0.422,0.764,0.155,0.342,14.8,14.19%,8.55%,1.66,0.295,,,,,,
valaich01,61,12,1,6,30,26,19,62,7,2,3,3,1,248,273,0.246,0.307,0.375,0.682,0.129,0.306,-1.0,22.71%,6.96%,3.26,0.306,,,,,,
valbulu01,108,28,2,14,51,57,61,100,8,4,3,2,3,448,513,0.241,0.336,0.406,0.742,0.165,0.333,9.1,19.49%,11.89%,1.64,0.281,,,,,,
valdejo02,58,10,2,8,31,31,19,53,4,1,3,7,3,245,271,0.237,0.300,0.392,0.691,0.155,0.307,-0.7,19.56%,7.01%,2.79,0.272,,,,,,
